iter	RMSE
0	0.1662764972
1	0.1637748736
2	0.1610408038
3	0.1589382034
4	0.1568714684
5	0.1548551966
6	0.1530424416
7	0.1514075942
8	0.14997142
9	0.1487595153
10	0.1469624754
11	0.1458702485
12	0.1449086988
13	0.1433958236
14	0.142153464
15	0.1411620184
16	0.1398401102
17	0.1391675254
18	0.138176697
19	0.137379089
20	0.1367250456
21	0.1361392067
22	0.1353614595
23	0.134554923
24	0.1337894266
25	0.1332537865
26	0.1326639007
27	0.1322960085
28	0.1318043645
29	0.1314747373
30	0.1309944297
31	0.1306134826
32	0.1302826417
33	0.1298857229
34	0.1295048845
35	0.1291804878
36	0.12889262
37	0.1286469018
38	0.1283045092
39	0.1280400042
40	0.1276658934
41	0.1274592427
42	0.1272578617
43	0.1271117002
44	0.1268167988
45	0.1265418894
46	0.1263373691
47	0.1261878075
48	0.1259973038
49	0.1258368231
50	0.1256855013
51	0.1255240272
52	0.1253730574
53	0.1252083564
54	0.1249681932
55	0.1248449813
56	0.1246429093
57	0.1245223856
58	0.1243229572
59	0.1241844509
60	0.1240074251
61	0.1238705355
62	0.1237480606
63	0.12355832
64	0.1234068509
65	0.1232483698
66	0.1230242392
67	0.1227842492
68	0.122686887
69	0.122623166
70	0.1225033029
71	0.1224064876
72	0.122333304
73	0.1221822856
74	0.1219984892
75	0.1218654904
76	0.1217014814
77	0.1215904354
78	0.1215139922
79	0.1214294417
80	0.1213013547
81	0.1212098517
82	0.1211047183
83	0.1209960832
84	0.1209186529
85	0.1207432333
86	0.1206645309
87	0.1205671953
88	0.1204705206
89	0.120367942
90	0.1202885962
91	0.1202093037
92	0.1200988572
93	0.1200026478
94	0.119909785
95	0.1198021523
96	0.1196259766
97	0.1195684213
98	0.1194741249
99	0.1193644803
100	0.1192214879
101	0.1191474053
102	0.1190513151
103	0.1188425593
104	0.1187349495
105	0.1186382022
106	0.1185768858
107	0.1184524024
108	0.1183502585
109	0.1182549732
110	0.1181709562
111	0.1181189391
112	0.1180177334
113	0.1179312585
114	0.1178879285
115	0.1177927186
116	0.117699118
117	0.1176344724
118	0.1174768924
119	0.1173878984
120	0.1172862614
121	0.1172229657
122	0.1171736142
123	0.1171311206
124	0.1170266181
125	0.1169958867
126	0.1169179835
127	0.1167610262
128	0.11674664
129	0.1166446902
130	0.116524746
131	0.1164440507
132	0.1163585039
133	0.1162992498
134	0.116273122
135	0.1161701667
136	0.116096715
137	0.1160294651
138	0.1159693791
139	0.1159204339
140	0.1158888189
141	0.1158093475
142	0.115727465
143	0.1155374232
144	0.1154622367
145	0.1153714524
146	0.1153011633
147	0.1151932506
148	0.1151329361
149	0.1150633985
150	0.1149251621
151	0.1148660313
152	0.1147659478
153	0.1146650589
154	0.1145801727
155	0.1145293371
156	0.1144973622
157	0.1144142009
158	0.1143914375
159	0.1143349841
160	0.1142613409
161	0.1141281141
162	0.1140164894
163	0.1139252702
164	0.1138974149
165	0.113853441
166	0.1137924251
167	0.1137400217
168	0.1136542145
169	0.1135453756
170	0.1134804768
171	0.1133272199
172	0.1132841977
173	0.113221149
174	0.1131872403
175	0.1131114562
176	0.1130623437
177	0.1129607602
178	0.1128944361
179	0.1128216853
180	0.11279313
181	0.1126805108
182	0.1126483441
183	0.1126275864
184	0.1125818163
185	0.1125099432
186	0.1124557429
187	0.1123996412
188	0.1123664015
189	0.1123467234
190	0.112310758
191	0.1122711554
192	0.1121872292
193	0.1121520626
194	0.1120916928
195	0.1119964984
196	0.111923819
197	0.1118558907
198	0.11180429
199	0.111713812
200	0.1115693993
201	0.111503692
202	0.1114020105
203	0.1113395523
204	0.1113044671
205	0.1112770342
206	0.1111707411
207	0.1111348197
208	0.111025796
209	0.1109374089
210	0.110902238
211	0.1107991811
212	0.1107631639
213	0.1106832958
214	0.1106362916
215	0.1106060833
216	0.1105292032
217	0.1104585766
218	0.1104189214
219	0.1103569925
220	0.1103429814
221	0.1102915716
222	0.1102713892
223	0.1101714294
224	0.1100942393
225	0.1099836628
226	0.1099581407
227	0.1098807441
228	0.1097724636
229	0.1097419585
230	0.1096509424
231	0.1096176813
232	0.1095699399
233	0.1095386337
234	0.1094636005
235	0.1094386234
236	0.1093392951
237	0.1092997404
238	0.109225884
239	0.1091456846
240	0.1090819717
241	0.1090554084
242	0.1089727121
243	0.1089295419
244	0.1088354903
245	0.1087939547
246	0.1087680365
247	0.1086983754
248	0.1086214149
249	0.1085917942
250	0.108505154
251	0.1084387654
252	0.1083447832
253	0.1083080364
254	0.1082521354
255	0.1082252011
256	0.1081844652
257	0.1081420415
258	0.1080676905
259	0.1080317927
260	0.1079213785
261	0.1078926199
262	0.1078824859
263	0.1078399515
264	0.1077801218
265	0.1077085706
266	0.1076636854
267	0.1076028243
268	0.1075287706
269	0.1074923715
270	0.1074610555
271	0.1074060606
272	0.1073332788
273	0.1072948711
274	0.1072628648
275	0.1072144618
276	0.1071744124
277	0.1070843841
278	0.1069872061
279	0.106931305
280	0.1069084859
281	0.1068250556
282	0.1067830024
283	0.1067273169
284	0.1066379552
285	0.1065724584
286	0.1065116568
287	0.1064927046
288	0.1064479556
289	0.1064001549
290	0.1063463404
291	0.1063134326
292	0.1062827461
293	0.1062044469
294	0.1061811829
295	0.10609419
296	0.1060393753
297	0.1060025732
298	0.1059568471
299	0.1059011171
300	0.1058619958
301	0.105844837
302	0.1057739159
303	0.1057485116
304	0.1056746317
305	0.1056409353
306	0.1056107603
307	0.1055676402
308	0.1055216725
309	0.1055125238
310	0.1054660815
311	0.1054323649
312	0.105398048
313	0.1053678686
314	0.105315918
315	0.1052617891
316	0.1052206236
317	0.1052063008
318	0.1051660263
319	0.105104743
320	0.1050636774
321	0.1049987989
322	0.1049393956
323	0.1049189342
324	0.1048464511
325	0.1048039752
326	0.1047453078
327	0.1047052149
328	0.1046663604
329	0.1046397707
330	0.1045424389
331	0.1045026098
332	0.1044715545
333	0.1044059051
334	0.1043734799
335	0.1043249018
336	0.1042976639
337	0.1042293515
338	0.1041881043
339	0.1041505702
340	0.1041007695
341	0.1040420736
342	0.104010478
343	0.1039902632
344	0.1039723141
345	0.1039603354
346	0.1039330822
347	0.1038610145
348	0.103837588
349	0.1038196623
350	0.1038082539
351	0.1037396343
352	0.1037116594
353	0.1036828681
354	0.103620545
355	0.1035979272
356	0.1035777398
357	0.1035188865
358	0.1034609416
359	0.1034041365
360	0.1033428337
361	0.103303434
362	0.1032785683
363	0.1032316693
364	0.1031921959
365	0.1031468176
366	0.1031106917
367	0.1030861543
368	0.1030330683
369	0.1029870856
370	0.1029360838
371	0.1028833383
372	0.1028643532
373	0.1028220269
374	0.1028056099
375	0.1027579688
376	0.1026959797
377	0.1026605364
378	0.1026208036
379	0.1026029579
380	0.1025662652
381	0.1025101983
382	0.1024902178
383	0.1024586887
384	0.102423879
385	0.1023783722
386	0.1023191271
387	0.1022801384
388	0.1022426892
389	0.1021849433
390	0.1021454025
391	0.1021068294
392	0.1020903402
393	0.1020552585
394	0.102020774
395	0.101980306
396	0.1019432895
397	0.101922279
398	0.1019062287
399	0.1018875589
400	0.10184639
401	0.1018086619
402	0.1017633607
403	0.1017328552
404	0.1016980667
405	0.1016609346
406	0.1016052691
407	0.1015607576
408	0.1015329462
409	0.1014928646
410	0.101478156
411	0.1014392207
412	0.1014244158
413	0.1013875919
414	0.1013577618
415	0.1013467443
416	0.1012876196
417	0.1012399841
418	0.1011897972
419	0.1011761457
420	0.1011466504
421	0.101118288
422	0.1011045552
423	0.1010771505
424	0.1010473018
425	0.1010039985
426	0.100946647
427	0.1009149143
428	0.1008930412
429	0.1008546501
430	0.100810349
431	0.1007677627
432	0.1007320735
433	0.1007122119
434	0.1006647238
435	0.100629224
436	0.100589101
437	0.1005709688
438	0.1005322068
439	0.1004876118
440	0.1004480781
441	0.1004240394
442	0.100391546
443	0.1003523569
444	0.1002990164
445	0.1002678697
446	0.1002400228
447	0.1002237423
448	0.1001955073
449	0.1001487598
