iter	Passed	Remaining
0	3	1774
1	7	1795
2	11	1823
3	14	1777
4	17	1740
5	20	1714
6	23	1684
7	27	1665
8	30	1675
9	33	1656
10	37	1648
11	40	1642
12	43	1630
13	46	1620
14	50	1621
15	53	1619
16	57	1620
17	60	1619
18	63	1615
19	66	1607
20	70	1599
21	73	1601
22	83	1736
23	89	1773
24	103	1972
25	117	2145
26	134	2350
27	138	2338
28	145	2366
29	148	2325
30	151	2288
31	153	2251
32	157	2224
33	160	2194
34	163	2165
35	165	2136
36	168	2107
37	171	2084
38	174	2059
39	176	2033
40	179	2011
41	182	1989
42	185	1967
43	187	1946
44	190	1926
45	193	1907
46	195	1888
47	198	1869
48	202	1865
49	206	1855
50	209	1844
51	213	1836
52	216	1823
53	221	1829
54	225	1822
55	228	1812
56	232	1809
57	236	1804
58	239	1790
59	242	1776
60	245	1764
61	247	1750
62	251	1741
63	253	1728
64	256	1716
65	259	1705
66	261	1693
67	264	1683
68	267	1672
69	270	1661
70	273	1650
71	275	1639
72	278	1628
73	281	1618
74	283	1608
75	286	1599
76	289	1589
77	291	1579
78	294	1570
79	297	1560
80	300	1552
81	302	1543
82	305	1535
83	308	1527
84	311	1518
85	313	1510
86	316	1502
87	319	1494
88	321	1486
89	324	1478
90	327	1470
91	330	1465
92	334	1465
93	338	1460
94	341	1454
95	345	1453
96	348	1446
97	350	1438
98	353	1431
99	356	1424
100	359	1419
101	362	1413
102	365	1407
103	367	1400
104	370	1394
105	373	1389
106	377	1384
107	380	1379
108	383	1375
109	386	1369
110	389	1363
111	391	1357
112	394	1351
113	397	1345
114	400	1339
115	402	1333
116	405	1327
117	408	1321
118	410	1315
119	413	1309
120	416	1303
121	418	1297
122	421	1292
123	424	1286
124	427	1281
125	429	1275
126	432	1270
127	435	1264
128	437	1257
129	439	1252
130	442	1246
131	445	1241
132	448	1236
133	450	1231
134	453	1225
135	456	1221
136	459	1217
137	462	1212
138	464	1207
139	467	1202
140	470	1197
141	472	1191
142	475	1187
143	478	1182
144	480	1177
145	483	1172
146	486	1167
147	488	1162
148	491	1158
149	494	1153
150	497	1149
151	499	1144
152	502	1140
153	505	1135
154	508	1130
155	510	1126
156	513	1121
157	516	1117
158	519	1114
159	522	1109
160	524	1105
161	527	1101
162	530	1097
163	534	1095
164	538	1092
165	541	1090
166	544	1085
167	547	1081
168	550	1077
169	553	1073
170	555	1069
171	558	1065
172	562	1063
173	565	1059
174	568	1054
175	570	1050
176	573	1046
177	576	1042
178	580	1040
179	583	1037
180	586	1034
181	590	1031
182	596	1032
183	599	1029
184	602	1026
185	606	1024
186	611	1023
187	614	1019
188	616	1015
189	619	1010
190	622	1006
191	625	1003
192	628	999
193	630	994
194	633	990
195	636	986
196	638	982
197	641	979
198	644	975
199	647	971
200	650	967
201	653	963
202	656	960
203	659	956
204	661	952
205	664	948
206	667	944
207	669	940
208	673	937
209	675	933
210	678	929
211	681	925
212	683	921
213	686	917
214	689	914
215	692	909
216	694	906
217	697	902
218	700	898
219	703	895
220	706	891
221	708	887
222	711	883
223	714	880
224	716	876
225	720	873
226	722	869
227	725	865
228	728	862
229	731	858
230	734	854
231	736	851
232	739	847
233	742	843
234	745	840
235	747	836
236	750	833
237	753	829
238	756	825
239	758	822
240	761	818
241	764	814
242	766	811
243	769	807
244	772	804
245	775	800
246	777	796
247	780	793
248	783	789
249	786	786
250	788	782
251	791	779
252	794	775
253	797	771
254	799	768
255	802	764
256	805	761
